Samples,Vaginal,Cesarean
192963,0.171944274620496,0.2780719051126377
4480189,0.7419813313351845,0.43349049344709467
4454586,0.5737713430018552,0.43349049344709467
975306,0.7419813313351845,0.43349049344709467
4407939,0.5737713430018552,0.2780719051126377
292521,0.7419813313351845,0.2780719051126377
4470603,0.7419813313351845,0.43349049344709467
4444262,1.0,0.6466406649785786
253584,1.0,0.43349049344709467
186891,0.5737713430018552,1.0
4450795,0.03436386662939017,0.16335925805883267
4471245,0.7419813313351845,0.43349049344709467
184729,0.7419813313351845,0.6466406649785786
3409358,1.0,0.6466406649785786
4404220,1.0,0.43349049344709467
1713225,0.5737713430018552,0.6466406649785786
4356307,1.0,0.43349049344709467
4476604,0.03436386662939017,0.02904940554533142
123510,1.0,0.6466406649785786
4004991,1.0,0.43349049344709467
4447188,0.03436386662939017,0.02904940554533142
189997,0.7419813313351845,1.0
4468805,0.7419813313351845,1.0
175704,0.4413706265478008,1.0
1108656,0.7419813313351845,1.0
787663,0.7419813313351845,1.0
188735,0.7419813313351845,0.2780719051126377
298954,1.0,0.6466406649785786
73000,0.0013640358414281906,0.02904940554533142
173135,0.5737713430018552,0.2780719051126377
196100,0.7419813313351845,1.0
181452,0.7419813313351845,1.0
4383924,0.7419813313351845,1.0
4388174,0.4413706265478008,0.43349049344709467
4473509,0.4413706265478008,0.6466406649785786
3195723,1.0,0.6466406649785786
335816,1.0,0.43349049344709467
4471251,0.5737713430018552,0.6466406649785786
4331760,1.0,0.43349049344709467
4457438,0.03436386662939017,0.003208368018363439
4459196,0.3334216420050795,0.43349049344709467
572751,1.0,0.6466406649785786
173920,1.0,0.6466406649785786
4419459,0.5737713430018552,0.43349049344709467
194236,0.7419813313351845,1.0
190649,1.0,0.6466406649785786
4374084,0.7419813313351845,1.0
2487345,0.4413706265478008,0.6466406649785786
4452613,0.3334216420050795,1.0
194425,1.0,0.6466406649785786
197481,0.7419813313351845,0.6466406649785786
182196,0.7419813313351845,0.6466406649785786
4434334,0.3334216420050795,0.08170416594551044
585914,0.7419813313351845,1.0
4452050,0.4413706265478008,0.43349049344709467
4397098,1.0,0.2780719051126377
4360511,0.7419813313351845,1.0
4327141,0.3334216420050795,0.43349049344709467
4365130,0.06788843238332531,0.003208368018363439
4442459,0.7419813313351845,0.16335925805883267
4461030,0.0013640358414281906,0.43349049344709467
2979308,1.0,0.6466406649785786
4326080,1.0,0.43349049344709467
4413347,0.4413706265478008,0.08170416594551044
354913,1.0,0.6466406649785786
4473883,0.2446245874385713,0.43349049344709467
2480553,0.5737713430018552,1.0
4454432,0.5737713430018552,0.16335925805883267
4347520,0.7419813313351845,1.0
92535,0.7419813313351845,0.6466406649785786
4483006,0.5737713430018552,0.43349049344709467
4376828,0.171944274620496,0.02904940554533142
2943548,0.7419813313351845,0.43349049344709467
4437368,0.7419813313351845,0.6466406649785786
191740,0.7419813313351845,1.0
4437362,0.0123074911041966,0.02904940554533142
4463108,0.5737713430018552,1.0
4431355,0.7419813313351845,1.0
4433737,1.0,0.6466406649785786
4370657,1.0,0.6466406649785786
1504042,0.171944274620496,0.08170416594551044
193709,0.4413706265478008,0.6466406649785786
4391009,1.0,0.6466406649785786
4389529,0.4413706265478008,0.6466406649785786
441155,0.4413706265478008,0.16335925805883267
4482516,1.0,0.43349049344709467
45363,0.7419813313351845,0.6466406649785786
536866,0.7419813313351845,0.6466406649785786
176967,1.0,0.6466406649785786
3696710,1.0,0.6466406649785786
4429608,0.3334216420050795,0.43349049344709467
4481427,0.11345910717791008,0.02904940554533142
4300127,1.0,0.6466406649785786
2497305,0.5737713430018552,1.0
437137,1.0,0.6466406649785786
175145,0.7419813313351845,0.6466406649785786
851938,1.0,0.6466406649785786
3678349,1.0,0.6466406649785786
193667,0.171944274620496,0.02904940554533142
91962,0.3334216420050795,1.0
181871,1.0,0.6466406649785786
3275744,0.7419813313351845,0.6466406649785786
4478125,0.11345910717791008,0.16335925805883267
4402537,1.0,0.6466406649785786
4410988,0.7419813313351845,0.43349049344709467
4354477,0.0123074911041966,0.16335925805883267
4459634,0.7419813313351845,0.6466406649785786
181254,0.7419813313351845,1.0
4474951,0.5737713430018552,0.6466406649785786
4335781,0.11345910717791008,0.16335925805883267
4448492,1.0,0.43349049344709467
4449236,0.0123074911041966,0.02904940554533142
4478815,0.06788843238332531,0.003208368018363439
125624,1.0,0.6466406649785786
4451251,0.7419813313351845,1.0
4403259,0.7419813313351845,1.0
342666,0.7419813313351845,1.0
495017,1.0,0.43349049344709467
4469302,0.7419813313351845,1.0
4376230,0.3334216420050795,0.2780719051126377
147100,1.0,0.6466406649785786
187126,1.0,0.43349049344709467
174516,1.0,0.6466406649785786
610842,0.7419813313351845,0.6466406649785786
4380971,1.0,0.6466406649785786
268733,0.06788843238332531,0.08170416594551044
174288,1.0,0.6466406649785786
4467447,0.03436386662939017,0.02904940554533142
178760,1.0,0.6466406649785786
188690,0.7419813313351845,1.0
174862,0.7419813313351845,0.6466406649785786
188079,1.0,0.6466406649785786
183873,1.0,0.6466406649785786
180468,1.0,0.6466406649785786
189679,0.7419813313351845,1.0
4354486,0.7419813313351845,1.0
199318,0.5737713430018552,1.0
183932,1.0,0.6466406649785786
192015,1.0,0.6466406649785786
151870,0.7419813313351845,0.6466406649785786
